
file: C:\Users\anne\PycharmProjects\DeepLearning\Project\Data\TIWafer\preprocessed\images\0CX\0CX02TE\2013-04-16_19-41-47_9999\0CX02TE-2013-04-16_19-41-47_9999-8_99_8.png, Label: 2
file: C:\Users\anne\PycharmProjects\DeepLearning\Project\Data\TIWafer\preprocessed\images\0CX\0CX02TE\2013-04-16_19-41-47_9999\0CX02TE-2013-04-16_19-41-47_9999-8_99_8_horizontal.png, Label: 6
file: C:\Users\anne\PycharmProjects\DeepLearning\Project\Data\TIWafer\preprocessed\images\0CX\0CX02TE\2013-04-16_19-41-47_9999\0CX02TE-2013-04-16_19-41-47_9999-8_99_8_transpose.png, Label: 6
file: C:\Users\anne\PycharmProjects\DeepLearning\Project\Data\TIWafer\preprocessed\images\0CX\0CX02TE\2013-04-16_19-41-47_9999\0CX02TE-2013-04-16_19-41-47_9999-8_99_8_vertical.png, Label: 2
file: C:\Users\anne\PycharmProjects\DeepLearning\Project\Data\TIWafer\preprocessed\images\130\1300439\2013-07-17_09-41-21_7566\1300439-2013-07-17_09-41-21_7566-11_99_11.png, Label: 0
file: C:\Users\anne\PycharmProjects\DeepLearning\Project\Data\TIWafer\preprocessed\images\130\1300439\2013-07-17_09-41-21_7566\1300439-2013-07-17_09-41-21_7566-11_99_11_horizontal.png, Label: 3
file: C:\Users\anne\PycharmProjects\DeepLearning\Project\Data\TIWafer\preprocessed\images\130\1300439\2013-07-17_09-41-21_7566\1300439-2013-07-17_09-41-21_7566-11_99_11_transpose.png, Label: 1
file: C:\Users\anne\PycharmProjects\DeepLearning\Project\Data\TIWafer\preprocessed\images\130\1300439\2013-07-17_09-41-21_7566\1300439-2013-07-17_09-41-21_7566-11_99_11_vertical.png, Label: 4
file: C:\Users\anne\PycharmProjects\DeepLearning\Project\Data\TIWafer\preprocessed\images\130\1300439\2013-07-17_09-41-21_7566\1300439-2013-07-17_09-41-21_7566-18_99_18.png, Label: 0
file: C:\Users\anne\PycharmProjects\DeepLearning\Project\Data\TIWafer\preprocessed\images\130\1300439\2013-07-17_09-41-21_7566\1300439-2013-07-17_09-41-21_7566-18_99_18_horizontal.png, Label: 3
file: C:\Users\anne\PycharmProjects\DeepLearning\Project\Data\TIWafer\preprocessed\images\130\1300439\2013-07-17_09-41-21_7566\1300439-2013-07-17_09-41-21_7566-18_99_18_transpose.png, Label: 1
